Geneid,SRX080704,SRX080705,SRX080707,SRX080708,SRX080709,SRX080710,SRX080711,SRX080712,SRX156368,SRX156370,SRX156371,SRX156372,SRX156375,SRX156377,SRX156378,SRX156379
SYNPCC7002_RS16900,5.233279065827217,7.301490885033886,5.159403121077384,5.283093569044055,5.3779808478768905,0.0,4.47267201707242,0.0,4.256115927602502,5.913598065172123,7.0776636049769825,0.0,5.9318406863823,6.14714088336378,5.356119015839236,6.43032691491766
SYNPCC7002_RS16905,0.0,5.605646551219329,6.4188145715658935,6.134595761467319,4.28707827633976,5.86382286077392,7.603904535913838,5.767538417778541,6.068580321586904,4.040889232047278,7.020455492263838,0.0,0.0,7.006261625685683,6.2084577080021335,0.0
SYNPCC7002_RS16805,7.654901714394472,0.0,5.43557916593886,5.154985172313428,6.230561749788346,0.0,0.0,0.0,0.0,4.433846437091328,0.0,6.613898051860782,6.061172423044326,7.418490832967519,7.198669911674753,7.291097952483902
SYNPCC7002_RS16810,6.916061205386646,0.0,5.280752400068077,5.978283736242783,5.095352531942177,0.0,0.0,0.0,0.0,4.282889559330245,0.0,0.0,4.367389578229981,5.288722689898704,0.0,0.0
SYNPCC7002_RS14605,5.92303989083969,4.877000282992589,4.7094175222733465,5.71491324892918,5.81042655362507,6.111195600907735,6.860279430651181,6.592142084079053,4.369787164068924,5.457410404810028,4.585069472493816,0.0,0.0,6.265214307079427,5.473007001811942,5.564018471673997
SYNPCC7002_RS14610,6.554149580044038,0.0,3.4330143084904567,5.362336038821545,5.714904050574128,0.0,0.0,4.688847540201795,5.5539163591453775,5.293747626044768,3.6943474531092777,4.5528932196871725,0.0,6.3192042450812425,6.100977530243309,5.2122956815826615
SYNPCC7002_RS14615,9.207262018494859,10.08682509576602,4.6484168632936935,6.774444671157637,6.584120737845011,5.070286593243575,8.052807041033267,0.0,4.309443637585858,6.6966218474855665,0.0,5.812848217721986,4.69894364469296,7.0681161675197375,6.973166368052114,0.0
SYNPCC7002_RS14620,8.02043083803084,7.668187537208587,8.262444312301035,7.442067066664665,7.70789448429925,6.6584466038486685,6.290989134669031,7.6527909913969365,6.758652635878116,7.115316987020821,7.47476962911741,10.91967032470633,6.636840419569764,6.424828316545642,6.206390646317788,8.092411885853535
SYNPCC7002_RS14625,8.546063219121404,7.400743009056293,7.103322804439458,5.695462195643589,6.70455467646365,10.071683270713097,9.415054632649465,10.950326129860004,4.3509214967433465,5.712256881386724,6.739797122488975,4.880431281535697,5.5249804025950775,9.597600546890611,8.010889678250113,8.103581866015396
SYNPCC7002_RS14630,7.815964123120434,6.3404093551097045,0.0,6.873059226960424,7.056347710685457,0.0,6.043368042746626,0.0,0.0,6.5204066142171815,4.499395166303095,0.0,3.3501283680698126,9.15934299027845,5.9589805866256915,7.0396488690521535
