Geneid,DRX114943,DRX114944,DRX114945,DRX114946,DRX114947,DRX114948,DRX114949,DRX114950
SYNPCC7002_RS01035,7.338772675031565,7.160487446266869,8.294508331543616,8.073182506124965,7.626320928941519,8.3475869007058,7.930993434043354,8.257906271063474
SYNPCC7002_RS01040,2.6989606040050056,2.7866252199792614,3.3497284572354484,3.7916464551759117,3.1909574700336933,3.2780049678354786,2.930605063467987,3.0100587449428953
SYNPCC7002_RS01045,9.466339193309706,9.145385225072122,7.633433009009748,7.1034363092264705,9.376137911011924,8.107975772896582,9.362913395247354,7.6971932185579925
SYNPCC7002_RS16540,3.490623228737448,3.0090746965911324,6.734401890102821,6.326646047603134,3.3760948828320005,6.203892462115121,3.656483317363051,6.540302950533624
SYNPCC7002_RS01055,7.94148081066157,7.523597119847063,9.934922964484604,9.935365647462014,7.498865016479642,9.489206047227823,7.921349249348303,9.335305257226873
SYNPCC7002_RS01060,7.3172066801909486,6.674855807797439,9.575586536049563,9.364683171988384,7.483310865424357,9.3605609217493,7.680314476335472,9.49335029169068
SYNPCC7002_RS01065,4.6541683033116605,5.533065222385744,4.897046603321634,4.872561364793843,4.585521247627779,4.125839242500963,4.591048784509946,4.180857906226478
SYNPCC7002_RS01070,7.524564888029989,6.749867827262113,9.59726029745685,9.39331994526412,7.455851190489174,9.073870829222882,8.005597074780754,8.947976098228454
SYNPCC7002_RS01075,7.059121768247089,6.874819591832517,6.270031472986006,6.50875786358441,7.355102482381969,6.666795438862012,7.38352582955788,6.931982779820252
SYNPCC7002_RS01080,6.432294597460722,6.199161685112054,6.260493107172287,6.539634855002337,6.660772578386977,6.386575295319693,6.854143105169179,6.207965057091607
SYNPCC7002_RS01085,5.191354486433174,4.853489073889839,5.820682026621919,5.612234633426376,5.247455795726056,6.119792892598128,5.78006444779438,5.687147356901645
SYNPCC7002_RS01090,5.9835457585644,5.826247851368085,7.416307387176851,7.153028343775861,6.149905030635272,7.393827378404897,6.591548921483106,7.549520875209402
SYNPCC7002_RS01095,4.27113648628684,3.781294251864594,5.470821457754647,5.508485097440247,4.0020845732671635,5.419860854403735,4.462427334255191,5.447466160398193
SYNPCC7002_RS01100,6.5469221583434125,5.746151833670245,9.181546878454716,9.06646660322295,6.466142349113948,9.048239191305848,6.119883374928582,7.96951411416957
SYNPCC7002_RS01105,4.6085057933397815,4.341957873463251,5.950678944112283,5.902207089375682,5.067213567176301,5.865935498709028,5.391600110314067,6.139660759466258
SYNPCC7002_RS16350,7.526081861436906,7.571353858257264,8.499143535637987,8.418505331544237,7.45149804510676,7.990792402384151,7.662568827400615,8.15054396723212
SYNPCC7002_RS01120,8.65923744263872,8.748019141308346,9.675596416294672,9.395748078206175,8.61148956186344,9.054753426423689,8.81646883827144,9.250598825703491
SYNPCC7002_RS01125,8.655638165084095,8.421099120290004,10.030598705438907,9.79651784525994,8.89153654729857,10.04927262151571,9.100932701012296,10.109654423575279
SYNPCC7002_RS01130,5.517308586376889,4.813029729853139,6.3767734102671145,6.3144969941054,5.422724174546794,6.371481876432164,5.639725688465466,6.596066798932526
