Geneid,SRX9895140,SRX9895141,SRX9895142,SRX9895143,SRX9895144,SRX9895145
SGL_RS14555,5.527320771538486,5.433140561751774,5.279486013125578,4.446613909624359,4.461177751526077,4.663936259102766
SGL_RS14560,5.603117983694291,5.849213290593783,5.534066660956098,5.252385299904153,5.0896636142148,5.293013024065522
SGL_RS20165,3.1049956956103775,2.2706310862321986,2.156648091137774,2.896912955457574,2.5551161509914193,2.70506779990425
SGL_RS14565,5.119510424339834,4.934281975433936,5.101645896967326,5.164471698738148,5.243321759849128,5.370025518343365
SGL_RS14570,5.300723161369264,5.6137219252677735,5.372345440167522,5.106075736039326,5.104246871245447,5.512453128808635
SGL_RS14575,9.752874585331215,9.437411903163264,9.542067984364001,9.101788445886157,9.157470031138049,9.01843104277522
SGL_RS14580,6.981857171940723,6.7349950992568965,6.861857531616538,5.183703959637632,5.210257496693687,5.888743651961651
SGL_RS14585,4.917301535050217,5.1786385943852515,4.929544680484544,4.65186139069753,4.943909970521827,3.8759956174709904
SGL_RS14590,4.655026669612399,4.004362181494222,4.248573472848466,4.134475189663055,3.9036531603404443,4.029516694224081
SGL_RS14595,4.822031714662743,4.544151774703035,4.843364677157524,4.63554638442503,4.758474276534222,4.527546405079664
SGL_RS14600,6.061214339237324,5.9940275808975585,5.97261955656261,5.515739745261669,5.387021674684916,5.7653980531578215
SGL_RS14605,5.799237423854454,5.072380618328822,5.592817514981119,5.0882635772797675,4.912293603841488,5.003752408372995
SGL_RS14610,7.683908284730496,7.943463641242205,7.866845084958106,7.836027290340767,7.929397927438687,7.475033764718913
SGL_RS14620,5.248402169031237,4.814143233492603,4.982996605387853,4.874718144071642,4.778885277684011,5.225579742135416
SGL_RS14625,8.41364601175754,8.174893616717963,8.109673126226367,8.005095396814157,7.955166761500211,7.820925056805002
SGL_RS14630,6.708586155277413,6.656786193822481,6.783164859566844,7.208211348899575,7.316120697440439,6.7483352887901775
SGL_RS18425,7.613729083664563,7.533444683966304,7.523735002725004,7.506673958334441,7.796569039987454,7.4700001146088875
SGL_RS14635,4.073786419602947,4.004241970441576,4.006131652955738,3.540620982430132,3.6107830759506294,3.873856278060022
SGL_RS14640,5.442268234464319,4.362336182533442,4.987771276700924,3.726764397955917,3.6520851038375834,4.329895420123672
SGL_RS14645,7.180181381881066,6.000126833789082,6.492055811188551,6.102390353783309,6.165718310320148,6.555250987035886
SGL_RS14650,5.159699139159458,5.010792813205804,4.730994198887681,4.732176543616935,4.336552546545434,5.4371873087249725
SGL_RS14655,6.229002581510443,5.90164508912766,6.040477494006363,6.58909972053831,6.4394924357494245,6.610825018155994
SGL_RS14660,1.8799103532006067,2.761134847197091,2.2726283572062425,2.2918451421475363,2.5334211144382746,2.5276288196087697
SGL_RS19480,2.3945691525764037,3.411407384326515,4.0439849980511005,4.014928608330007,3.490828115092104,4.239372662337319
SGL_RS14665,5.181965754359744,4.953556371829162,5.079613010870717,5.253802140792165,5.349896513949391,4.860997400845428
SGL_RS14670,6.656254176935151,6.278355904612226,6.437252359972117,6.37850903499098,6.4436769957376825,6.43117301018876
SGL_RS14675,6.697246042357726,6.599714258611392,6.5420988132833955,6.5176464748703635,6.6045797304297675,5.918819218239814
SGL_RS14680,6.873568126916851,6.554837489983968,6.877709871269504,6.4110792038403535,6.701741963903213,6.578659186522644
SGL_RS14685,6.346514787386808,5.2588528089660596,5.892699457928306,5.380699959336754,5.5433155728970105,5.667617928169063
SGL_RS14690,5.0593547153207865,4.72071925127092,4.905016403760037,5.240376993878136,5.229149537852937,4.94471464342611
SGL_RS14695,7.866671799767588,7.583730099803827,7.829266800106309,7.379802750426524,7.382768512733056,7.3683047065100915
SGL_RS14700,9.126958166883604,8.936693278623402,8.947604097315667,8.656866311576566,8.622327025953785,8.656737019032686
SGL_RS14705,5.7251090488576635,5.804612544749483,5.840251670903684,4.776410711635128,4.834175324564179,4.691756524022237
SGL_RS14710,6.16157133606105,6.02409070843197,6.0475418497823465,5.6387017597442615,5.596913361573383,5.833662312939055
