Geneid,ERX1320318,ERX3440931,SRX315307
BSU_00860,8.352443860658694,9.367906622225297,6.641362908970451
BSU_00870,7.838512612191619,8.444632324831575,6.604962729684739
BSU_00880,7.1111617517837775,7.852672812251235,7.035065616334995
BSU_00890,7.86737013420274,9.413188889364053,7.093308025096544
BSU_00900,9.471356933099045,8.661204175350461,7.038675573832084
BSU_00910,6.712520576971758,4.009840626082162,7.1298700085565425
BSU_00920,8.619951520901315,6.918328290664503,7.768112939190958
BSU_00930,6.840998808263867,5.4944461131037965,6.2680360117137015
BSU_00940,6.661128886281574,5.397625299936497,7.035606525614958
BSU_00950,6.5936375820877045,6.423029596119894,5.872293881797627
BSU_00960,6.795805967932147,6.1265835279289265,6.937877810801184
BSU_00970,7.921619193252973,6.424259340931355,4.101172994175876
BSU_00980,7.905787494754191,9.39132138510814,7.473125731220538
BSU_00990,9.591987964157603,7.350168415951741,10.433458874064318
BSU_01000,9.521692102421806,6.008921169829236,7.533333548605168
BSU_01010,7.131138808351923,7.069099301780123,6.777249880693285
BSU_01020,11.977668993805612,9.088797265028445,5.319262413839335
BSU_01030,10.894107659762579,7.543759218389775,6.173321696016896
BSU_01040,11.818101008959236,8.090271730221602,6.387969500141117
BSU_01050,12.065216055281002,6.624666972591445,5.510225560175543
BSU_01060,8.095619036623992,4.1972478095229295,7.106638006451409
BSU_01070,10.169181049928575,9.670596548848161,6.512123853709362
BSU_01080,10.320462155620232,10.267063017624656,7.824684174737034
BSU_01090,12.681155509259757,8.773412530251422,6.656708640398902
BSU_01100,12.022269947883341,9.762843255597733,7.322515614261623
BSU_01110,11.769035939525608,8.6917995648096,6.158139063423741
BSU_01120,12.20816971824532,9.354819748201521,5.487652408381842
BSU_01130,12.388217190142583,10.21442355860905,4.850320461852967
BSU_01140,5.464190496077154,3.8257221268483175,6.453487313550304
BSU_01150,12.062383557871451,7.528880343912047,7.078556234075656
BSU_01160,11.282807886077949,6.7325928894448115,7.051018485873913
BSU_01170,11.657362965629884,6.32924282610479,6.0754572165501255
BSU_01180,12.772599663985929,7.83486001599221,5.872293881797627
BSU_01190,11.643518936093415,7.86571816463566,6.649841502370252
BSU_01200,11.964636427971834,7.3438733867615085,7.224861291956238
BSU_01210,12.19394941131364,8.116829875682546,0.0
BSU_01220,12.21437761772442,6.264447538172958,7.664755490527966
BSU_01230,11.770684461702341,5.7028174071163455,6.27130580915378
BSU_01240,12.03329901253331,8.256367246696458,6.962899811591612
BSU_01250,12.065555713454579,7.173184539003706,6.57317758140165
BSU_01260,11.952073844436596,6.538573018283396,7.085524846531205
BSU_01270,11.855851218593822,7.5598621770829295,6.334921643448424
BSU_01280,11.621723951383178,5.918963024536451,5.963863183275441
BSU_01290,11.794756545928797,6.8931226736560385,6.494311003532934
BSU_01300,11.903094401955672,6.103018737327596,4.444940690184145
BSU_01310,11.72960629472421,5.750360449909046,6.541100411158688
BSU_01320,12.077944741592797,8.246898864611477,7.329902054617883
BSU_01330,11.818101008959236,6.836522416668505,4.133353518490529
BSU_01340,12.6074220866157,5.1029449866108685,0.0
BSU_01350,12.072771275695022,6.559047251242278,12.688288718082608
BSU_01360,12.1376177492815,7.836323469271515,7.4407432379407155
BSU_01370,12.416921370731297,7.401379886197864,6.846744952083878
BSU_01380,11.570378988989397,7.327309957472902,6.078877981113657
BSU_01389,12.6074220866157,9.070224728500056,7.213351092889521
BSU_01390,12.531658498309769,7.166001635190129,0.0
BSU_01400,12.464348652809463,8.183707818093348,6.204188786101058
BSU_01410,12.62539265804504,8.799957533763816,6.107713943118199
BSU_01420,11.61150434721431,6.889257549545173,7.978714280907152
BSU_01430,11.931910928379748,9.57018755322605,7.533333548605168
BSU_01440,12.070333323068676,8.904381774822527,0.0
BSU_01450,9.397732152490022,5.879203566990174,7.470943876493758
BSU_01460,8.638429444958158,5.637652008365859,6.915635149157422
BSU_01470,8.28286640579879,5.353664586126957,7.5547513306244465
BSU_01480,8.645953328475823,6.8783497890819145,6.303950210239776
BSU_01490,11.568186153731626,8.838015180731754,4.316858575204137
BSU_01500,11.893420797442738,7.8660071547605135,0.0
BSU_01510,6.8981963701329105,5.394268713852366,6.039479784816756
BSU_01520,0.0,5.377862363772107,5.261082152487006
BSU_01530,0.0,6.474166336317212,8.826181754182986
BSU_01540,9.031942151413839,10.223278062305699,6.309129053196316
BSU_01550,0.0,7.409279434971168,7.361487786836116
BSU_01560,6.802972612026271,6.601048065946484,6.397963226118867
BSU_01570,0.0,8.393341242640158,5.786369501126451
BSU_01580,6.242359714058811,4.059472577924758,6.353638698584642
BSU_01590,6.76283275840353,4.6882127737288295,6.357942578284685
BSU_01600,6.926416563844923,2.9597173022687437,6.932165608686001
BSU_01610,5.38684119446329,2.190428203169319,7.133584347595996
BSU_01620,6.513906746146677,1.3184830300040882,8.930001891754198
BSU_01630,4.7532105043477,2.9864458265888842,11.125802596048047
BSU_01640,5.577233631776334,2.4179156516206652,8.689845255367974
BSU_01650,0.0,9.706621761849563,8.86782216156033
BSU_01660,3.257308710437382,10.17993076398573,6.578348606865017
BSU_01670,3.7501287668156005,9.299524969792273,6.65886147683894
BSU_01680,5.434827616348664,8.64257826844757,5.7956589713052145
BSU_01690,6.463240914163881,9.025805692618338,7.3788252663680005
BSU_01700,6.00396534789456,8.295085777576004,5.5331738910023756
BSU_01710,6.694659680125136,3.0808122695715108,7.808388470798779
BSU_01720,6.516464719213331,4.231202703791486,5.7956589713052145
BSU_01730,9.196419079416913,9.397778498713837,5.495135847219585
BSU_01740,9.808332303426361,8.871766522633312,4.778599626293024
BSU_01750,8.541915928714493,7.10851250104504,6.1620275044207835
BSU_01760,9.002424273959873,7.704916820029309,6.233296629834989
BSU_01770,8.502673086954877,6.29615377195981,9.194164268432717
BSU_01780,9.51026010848861,8.999048520157286,6.967654465192009
BSU_01790,0.0,1.6460694662444548,5.90215434585798
BSU_01800,0.0,7.950117898029051,6.65827401458168
BSU_01810,0.0,4.778294846917994,7.4134221850967785
BSU_01820,4.026148450309625,5.542299468032173,7.754612996908117
BSU_01830,0.0,2.4724936525146397,6.170037680138874
BSU_01845,0.0,2.7026839463086105,6.765019913363227
BSU_01860,4.056600831868379,2.613242955912042,6.57317758140165
BSU_01870,0.0,3.03979592678843,7.164522013546987
BSU_01880,0.0,5.729342273382985,8.470703367619828
BSU_01889,8.23264301482189,4.8944165205537145,7.106638006451409
BSU_01890,3.914581712545389,3.030039754817115,7.223394510097677
BSU_01900,4.766380680342442,0.9659416650332846,5.745317940939832
BSU_01910,0.0,13.97390965694512,0.0
BSU_01920,2.944391159752332,6.710858777040521,6.466270084041659
BSU_01935,2.7089777404378537,5.105760578901959,6.946489450261466
BSU_01950,0.0,7.025654257711539,6.3506667783674375
BSU_01960,4.987403668522432,6.097578363555086,6.34337790160909
BSU_01970,4.087795908429333,6.204521353261279,5.62073507272649
