Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX12668195	2.6	10774703	2963905	10774703	1500394986	233701	1496178577	0.28101993404022213
SRX12668196	2.6	11027724	3108775	11027724	1563909376	276180	1559526600	0.2802448829362348
SRX12668197	2.6	11187682	3094989	11187682	1515366225	211974	1510856254	0.2976159112956342
SRX12668198	2.6	9989422	2636539	9989422	1326361015	183059	1322462678	0.29391221212876195
SRX12668199	2.6	9487321	2936583	9487321	1264842520	185077	1260710890	0.3266517321065392
SRX12668200	2.6	10594567	2976358	10594567	1489274739	247843	1485078806	0.2817433808631867
SRX12668201	2.6	14417286	4323786	14417286	2037481579	328853	2031447026	0.29617705809942935
SRX12668203	2.6	13403087	4967322	13403087	1886164879	370015	1879929646	0.330577303682262
SRX12668204	2.6	16135627	4413464	16135627	2246307973	368864	2240012835	0.28024376335150014
SRX12668205	2.6	9987400	3300858	9987400	1378969596	234026	1374196577	0.3461293863073686
SRX12668206	2.6	12611848	3951821	12611848	1739659859	312994	1734083333	0.3205526627030141
SRX12668207	2.6	11242527	2999642	11242527	1556639452	248060	1552384689	0.2733300247872685
SRX12668208	2.6	14506471	4578298	14506471	1990590035	359258	1984111032	0.3254815349258995
SRX12668209	2.6	11507266	3187075	11507266	1606643910	262839	1602109632	0.2822204703716831
SRX12668210	2.6	17580775	5502420	17580775	2481553113	512235	2473959504	0.306002275761083
SRX12668211	2.6	14224338	4051942	14224338	2021889518	353696	2016273608	0.27775553263439984
SRX12668212	2.6	15337415	4770690	15337415	2150711452	424374	2144058410	0.3093414504215882
SRX12668213	2.6	14501615	4085009	14501615	2063818444	369983	2058162726	0.2740414505182124
SRX12668214	2.6	11357482	3179225	11357482	1558788986	239107	1554244950	0.29151065608055304
SRX12668215	2.6	12012490	3927583	12012490	1694001938	286824	1688565660	0.3209133282585418
SRX12668216	2.6	10743913	2959210	10743913	1485020997	244942	1480781441	0.28548794990539783
SRX12668217	2.6	14637732	4152845	14637732	2069019267	355311	2063196680	0.28141772736812315
SRX12668218	2.6	12574290	4068504	12574290	1779641976	323935	1774019499	0.31593304023078406
SRX12668219	2.6	7971116	2226363	7971116	1132733930	212631	1129634937	0.27358525404107914
SRX12668220	2.6	12593375	3646968	12593375	1780073316	305813	1774965375	0.2869511583645356
SRX12668221	2.6	9017928	2606084	9017928	1263115658	221259	1259363767	0.297034636237563
SRX12668222	2.6	13430668	4198487	13430668	1870766057	301514	1864889310	0.314135857768559
SRX12668223	2.6	11756300	3269713	11756300	1629424863	275210	1624762347	0.2861448911130307
SRX12668224	2.6	9345475	2926512	9345475	1311208872	221359	1307189695	0.30652454279610764
SRX12668225	2.6	9346955	3004973	9346955	1313882159	235069	1309763726	0.3134552799723343
SRX12668226	2.6	6156555	1806632	6156555	873223361	150989	870709680	0.2878623170504024
SRX12668227	2.6	10613495	3006039	10613495	1509773310	295196	1505567908	0.27854526054643264
SRX12668228	2.6	11579776	3651862	11579776	1636721742	301948	1631687179	0.3076004228946083
SRX12668229	2.6	10970596	3160433	10970596	1537552316	279848	1533038369	0.29358005922967245
SRX12668230	2.6	9209469	2866353	9209469	1280824139	209202	1276858683	0.30960191014950883
SRX12668231	2.6	14702996	4121683	14702996	2077534968	362793	2071759299	0.2780058621858056
SRX12668232	2.6	9893458	3201936	9893458	1389894608	235004	1385428047	0.32135968974131024
SRX12668233	2.6	12237636	4144653	12237636	1733103427	292162	1727307366	0.3344324931624522
SRX12668234	2.6	12336621	3644947	12336621	1739381928	301222	1734201715	0.29781918028528576
SRX12668235	2.6	11519130	3195913	11519130	1626454552	301910	1621977013	0.27529444302603545
SRX12668236	2.6	11613985	3709524	11613985	1633068888	351756	1627835305	0.32047533563691283
SRX12668237	2.6	9773527	2708847	9773527	1364473920	255982	1360613405	0.2829306550615493
SRX12668238	2.6	8906745	2630348	8906745	1241278534	215658	1237509219	0.303663915612352
SRX12668239	2.6	10083060	2763302	10083060	1392512688	245854	1388554713	0.2842325986763289
SRX12668240	2.6	12333374	3631710	12333374	1709375709	291532	1704176178	0.30417719010654315
SRX12668241	2.6	11028781	3571311	11028781	1543595045	268667	1538662767	0.31953186271079276
SRX12668242	2.6	6461066	2000605	6461066	851302122	136250	848361150	0.345467481402566
