Geneid,SRX030112,SRX030114,SRX030115,SRX030116,SRX030117,SRX030118,SRX030119,SRX030120,SRX040435
SYNPCC7002_RS15300,6.192370530203506,6.935352977872525,6.639956052201752,7.3975185875185145,5.793827319867741,6.346394614219539,6.851385764072621,0.0,0.0
SYNPCC7002_RS16840,0.0,11.168689367900548,0.0,5.9865650523573954,0.0,4.9506718371818845,0.0,0.0,0.0
SYNPCC7002_RS15305,0.0,4.410203734687148,0.0,6.6024066122524205,0.0,2.488333718231943,0.0,0.0,6.608343561121068
SYNPCC7002_RS15310,6.6473684702423395,4.016499494422365,6.106900575792254,5.58024841265795,7.046294552093899,6.058687384640426,5.908419517301207,0.0,0.0
SYNPCC7002_RS15315,9.445878433285682,9.356499713070788,9.550720663537716,8.28378505151766,8.405717401470849,8.206783641875493,8.115351241987497,9.085498080648547,9.64204867527728
SYNPCC7002_RS15320,7.135497916654419,7.163841519609674,6.015622280472236,6.473435988807351,0.0,7.536965341197929,0.0,6.542750931848073,7.095185176558725
SYNPCC7002_RS15325,0.0,5.972670253898322,0.0,7.206095358726045,0.0,3.9130760238212368,7.3332384499373715,0.0,0.0
SYNPCC7002_RS15330,7.0482881513534315,6.5147155920390345,5.5220010165206626,6.517538127359122,0.0,4.270171478102119,5.731097462960372,5.067965391550792,0.0
SYNPCC7002_RS15335,6.924264942048617,3.731844519724546,5.806299859118821,6.149238838381036,5.946046366936872,5.900103041396773,6.593683636262674,5.3501394281286405,0.0
SYNPCC7002_RS15340,8.435597466753533,5.087984648036512,6.896495832063523,6.9812468848400675,8.032025635857316,6.306259124665775,6.696693743069616,0.0,5.9985249951922235
SYNPCC7002_RS15345,6.2707477478896765,6.368442792821926,8.294416555934742,9.514738689967807,7.4403124358565496,12.581901261694009,7.9242235058223205,7.248415299781788,8.799539097383118
SYNPCC7002_RS15350,6.098989944754285,4.43753205617955,7.538479400040587,5.645263620023301,5.700872216878077,4.615836819475949,0.0,0.0,7.629448871496877
SYNPCC7002_RS15355,6.973465510762973,6.272304914913211,7.423279761494332,8.183341105754709,6.572259199146511,7.035913979746815,6.64278078811166,8.537744052501974,0.0
SYNPCC7002_RS15360,6.921423223550201,6.538582156631202,0.0,4.206255441176356,0.0,6.086901944484316,0.0,0.0,0.0
SYNPCC7002_RS15365,7.636631940332265,5.537310342181288,0.0,6.6674127188626615,0.0,5.148596134450791,7.304848215258976,7.623652774721352,0.0
SYNPCC7002_RS15370,6.693741870610421,5.994129984940314,7.142892727134557,4.943820603112237,6.293329190960948,4.4865820026004535,7.936930438625138,0.0,7.233711780385262
SYNPCC7002_RS15375,0.0,4.156960524168128,0.0,4.642496193714732,5.411531700418402,3.643489698065345,0.0,0.0,0.0
SYNPCC7002_RS17145,0.0,0.0,0.0,0.0,0.0,4.7832835984035995,8.244963223201932,0.0,0.0
SYNPCC7002_RS15385,0.0,4.718496941971732,0.0,6.921362155297652,6.977623546598171,5.1531856244134016,8.042863968234196,0.0,7.921372374547754
SYNPCC7002_RS15390,7.54137039929994,0.0,7.992192987697262,0.0,0.0,3.7973413812419015,0.0,0.0,0.0
SYNPCC7002_RS15395,6.612703446343222,4.937335922159181,8.639381463421007,6.8270785740692155,6.212550842235986,5.11801479468926,6.861638462592254,6.599792328363896,7.152419471812913
SYNPCC7002_RS15400,0.0,6.601872038231309,0.0,5.325826916605416,0.0,5.672621383643115,7.164431319125068,0.0,0.0
SYNPCC7002_RS15405,7.4770199204825625,4.812746465584245,7.9277471880329236,6.699280003181546,9.872872387014098,5.653889635338298,9.137793704559542,9.77942494661943,0.0
SYNPCC7002_RS15410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNPCC7002_RS16270,0.0,5.870055556604864,7.017684125415136,3.8720812073232698,0.0,6.72336290505314,6.2391536736748705,6.555966687625568,0.0
