Geneid,SRX368713,SRX368714,SRX368715,SRX368716,SRX368717,SRX368718,SRX368719,SRX368720,SRX368721,SRX368722,SRX368724,SRX368725,SRX9848492,SRX9848493,SRX9848502,SRX9848503,SRX9848504,SRX9848505
SGL_RS08640,5.451500608789155,4.748319880720745,4.6901435246869365,4.346833991038059,6.21796720017115,6.047308281552286,4.895722087456829,4.685761272452943,5.920313471813281,4.241455536574985,4.7624338461115,5.314794777488316,2.90740243794082,3.091560616354678,2.993383401875374,3.297299041267523,3.4646103476020564,3.1859997553772024
SGL_RS18805,5.8796032701897385,6.6081951579994005,5.993093836757354,7.218212116382145,5.173621540594061,4.6638045438917715,6.759515099866279,5.480156765557911,4.309606435554053,4.612075826458668,5.855514179806421,7.2568025880540015,5.716874192721921,6.295732087395507,6.004281856375131,6.336046390660486,6.631007846084046,6.766687819291857
SGL_RS08650,4.888367918236551,5.416325924142144,5.538634978960618,6.157707472885671,4.947722255064669,4.644703407452145,6.463461140995006,4.6389658397442,2.9438328863004806,4.551745121264776,4.611222097023088,4.787551807904488,3.2181996437859883,3.064104948813838,2.731241803113105,3.1235204925774456,3.3612658294797506,3.8425789248323836
SGL_RS08655,8.079201513005339,6.024779619644538,7.674055845741869,6.872345307842226,8.434839017878485,8.577452808441523,8.289703615350088,7.4509424492183705,7.989166275204227,6.745842203884682,7.993462771480804,8.293989799058043,5.454319379764032,5.5146067456553345,5.5567935115523595,5.6151595079541385,5.84938132933248,5.9327545862880795
SGL_RS08660,7.716943744744826,5.279433656064816,7.194961507600127,5.612912216657799,6.808015834653302,6.614352236888328,8.624618697522017,7.126934213982247,7.018110739813859,7.579434881282526,7.808145869392252,8.534707749761079,4.399845361106824,4.143972311567659,4.06976700546998,4.603346407426448,4.612196675296965,4.4985576098710744
SGL_RS08665,6.613883085440294,4.106469336470737,6.425382423100884,4.366299154251592,5.739388968244362,5.2411734971410135,8.20257453001184,6.825573978903919,5.808045901649416,6.622768703577979,6.819571598240445,8.163412792676226,4.19258135922637,4.425627111988742,4.605892280862766,4.989030476424773,4.6014220122222556,4.883886588649177
SGL_RS08670,2.668442220212329,3.5878159872469357,3.2941593132665776,2.8094258230744162,3.055888717060017,3.5377370378601727,4.84851961617454,3.798987415686901,2.8269779262118218,2.326744929510695,4.171032600690226,4.027287981432319,2.801182624298548,2.7220937592601673,3.1489432276154616,3.0488217171717054,3.321201487491501,3.428525952747363
SGL_RS08675,6.962523845081648,3.211827678456154,6.246502840993088,2.182861758962213,8.632228837850283,8.029334760394283,6.779403058714739,6.211823925703491,7.878069625812624,4.906248549352853,7.08976982473768,5.024929541337547,3.886224227271334,4.669239274692876,4.590491544577549,4.214267797738295,3.336025439772537,4.152309189617723
SGL_RS08680,5.155922105160006,3.489905591673602,4.742656776266715,0.7913605126193223,5.0962343824820415,5.041655987762436,5.9061825747119405,4.901524624885257,5.094146513427038,3.492553095795924,6.228412235119108,6.4424690806825975,2.9461419652877012,2.8782697396332533,2.6802925145744765,2.719778478778257,2.760769546310268,2.8269308389617946
SGL_RS08690,6.135615588191942,8.180400989883234,7.689978410055627,6.557639005360273,8.243251357230914,7.779368775383726,7.936151356106337,6.9649336381384135,8.1864909222681,7.540379427678278,7.681132210573534,7.933824416779527,8.230496780047943,9.5142802874439,9.404567467274656,9.65188104763326,9.483213747808634,9.598215123405167
SGL_RS08695,4.466069094376069,2.172697394196481,3.62350938956313,0.8085841946221124,3.7713074865339,4.023410288228628,4.7979037403161815,3.6472465496748128,3.2721123779973302,2.431532778407812,4.879201158325666,5.267169846474468,1.5266569622092256,1.5467511772808549,1.3727530617705417,1.6664905217487656,1.3972718795761971,1.7135404928933815
SGL_RS08700,4.228034671310643,2.439502586335122,3.6209855343393467,0.4636891190849249,4.7128661150882465,4.673401814720452,4.433135437260014,3.2478870917511204,4.390285694874166,3.594986708864497,3.7905682665644584,3.79067427730946,1.0386644982200837,1.1131213563861113,1.139311964646295,1.5261895880578717,1.2318863707856886,1.1517004613330346
SGL_RS08705,5.710739086110015,3.5828658807199605,5.1268150986585574,1.7451392681312132,3.8913977899026264,3.7508308261103114,6.363847443147848,4.810775922407717,3.0034686222819813,4.52415361509,6.068370240608858,7.2868052224982565,3.816106639212534,4.402562532541983,4.030516909635472,4.17116984203873,4.484712111912124,4.5421820139599705
SGL_RS08710,5.44160855079428,2.379861137005296,4.264873876392094,2.071131321360267,4.805340340559961,4.328068342452186,6.267412805715717,4.112462653809942,3.817359546709199,3.2367511385917527,5.439601830908947,5.895074472419624,2.763242265038104,2.538651620871504,2.3077946667967493,2.865363236552076,2.600221427077378,2.587040229358375
SGL_RS08715,7.17050286265386,3.4263646373098178,5.434999402040632,0.9472501122846888,6.108133589375679,5.631106062100225,7.423829942251294,5.7213261991814,5.1253905194175715,3.567546031824535,6.012134477241565,5.797102598660109,0.0,1.2050041425987121,0.7263730724875672,1.1050158846456912,1.4066966022227825,0.9106539951808251
SGL_RS19855,5.126409172193231,4.607846889463515,4.466350641029587,2.749290153857216,4.908415305800169,4.174525452752561,5.387207037505082,4.410419456808344,3.675753077623823,0.0,5.212955663894707,6.613751452772064,0.0,0.0,0.0,0.0,0.0,0.0
SGL_RS18810,4.668325148913289,3.047809377324551,4.13307697469595,1.4747937300919471,4.167338901240676,3.6762790894458606,4.722459978341073,3.872839032381613,2.889182517816672,2.8567086694600294,4.1431664783227955,5.69359943617501,0.0,0.0,0.0,0.7953802398777741,0.0,0.41939868430698884
SGL_RS08730,6.146229448450288,5.593740263485502,6.221443318783131,5.503857855723721,6.753054030595651,5.580433003049413,7.291942256617143,6.066789418944109,6.042628821653345,5.213555865627546,7.143847787565077,7.218160938319776,5.729390800863947,6.3516078577771475,6.499015340372814,6.870843922291687,6.925022117686563,6.944591743652546
