Geneid,ERX5015785,ERX5015786,ERX5015787,ERX5015788,ERX5015789,ERX5015790,ERX5015791,ERX5015792,ERX5015793,ERX5015794
SGL_RS15635,8.651604426792504,8.72384596220131,8.421679976796561,7.895442406170338,9.168504130800116,9.392296747317545,9.472543686962776,9.610157960201487,9.583924105822133,9.622181852316862
SGL_RS15640,4.756573303137566,4.544856062673147,4.489130944983756,4.570634748300193,4.980848681589172,6.083919064533701,6.665949388430037,6.684011492876626,6.757236029279823,6.892263813062759
SGL_RS15645,4.457704177521044,5.004709689042326,4.8213666357603655,5.218221023607041,4.040976853222711,4.596422774327367,4.665302492287074,4.433133685910077,4.935152822433432,4.8958211402305745
SGL_RS15650,10.090977717865677,10.129343355467881,10.432221508430882,9.993438295455059,9.965940663164464,9.550321730068816,9.991435873645402,10.040462675133732,10.005142152125792,10.300929891063152
SGL_RS15655,6.075346143869987,6.846130764165938,6.155337582018286,6.476600412939224,5.854915620023527,6.230707441378618,5.873725739876197,5.847457128516684,6.568198238786042,6.487427743146912
SGL_RS15660,6.3418577549504445,6.211669676247964,5.450834019249456,4.58046077823837,4.961449761559066,5.558466593381794,5.686396821513682,5.538939881564145,5.921824841896175,6.14892727100967
SGL_RS15665,5.292514363709673,6.1861952477985795,6.677110185299586,6.69537162377162,6.217620828716028,6.469377832856442,6.2977590982815554,6.107591236930862,5.967808616287118,5.6926714669186875
SGL_RS15670,4.589258826897495,4.8591966984276596,6.215361121549807,6.641956382221296,6.087376582843324,6.702739755734103,6.5934148039769305,6.846357501193366,5.997578415100794,5.917703328608685
SGL_RS15675,7.549917547583102,7.642254325433485,7.7371273265115335,7.359660896010325,7.411343311840655,7.377717753183903,7.636695832449758,7.588794222895647,7.806662334033737,7.908924376621847
SGL_RS15680,5.201149667400382,5.834874113601081,5.845948000196279,6.724985044942181,5.392554163152042,6.015985538768134,5.666663644751177,5.864041206289869,5.248730190166538,5.5065420223450605
SGL_RS15685,1.7567318812410475,1.5270315091924662,2.0124582175959875,3.054126418207911,2.316310943733437,1.8149490690998271,1.9997975533762178,3.218800616827951,2.453184188451007,2.9265122446149103
SGL_RS15695,10.948874773394596,11.062324078520104,11.646621737216227,11.801285836056971,11.459201046711472,11.526592306665373,11.68484708567846,11.78858103261462,10.204019269623627,10.223920965179035
SGL_RS15700,4.202192612706827,3.8844198593389923,4.788801738372615,4.374014326471308,3.7258727576554374,3.1532391759978466,4.0321680400328646,3.834388102824241,2.505462994927538,3.004726445482788
SGL_RS15705,6.036150779551053,5.804792028369615,5.524443992587435,5.362422319563295,5.427766176246213,5.1151525264605215,5.074134432953577,4.7462447368702465,5.185064140169458,5.146396833173496
SGL_RS15710,6.253059322858553,6.324082272068811,5.930794580043215,5.987765390685276,5.472869404587554,5.53535911679258,5.4204122423640095,5.451790065130132,5.688577719256626,5.599098428684384
SGL_RS15715,7.695614394307342,8.203937484365893,6.500448401965486,6.525768408126239,6.3661990634550225,6.57236507218383,7.029409537388633,6.941479010726578,7.959819399528778,7.630086061881739
SGL_RS15720,5.469538329705554,5.151811657377212,5.641809299290894,6.157289304462044,5.437935999812784,5.344548448190903,5.655916253568867,5.40101302898861,4.872663360300869,5.193906855097471
SGL_RS15725,5.908246242750976,6.321856527584901,5.603800963593998,5.82771243649203,5.478600869718513,5.9948732820969255,5.6197771997551715,6.226929759212273,5.362701856135187,5.76711072084268
SGL_RS15730,6.888675166280284,6.262835667357805,5.99421430559259,5.827135825131681,5.438519709901872,5.943555104735511,5.741144721269215,6.072142031507855,6.1288762856108825,5.698679370264458
SGL_RS15735,5.010396248320272,4.287390061081302,4.6235999881460135,4.841112511000936,4.761546334094605,4.6213403434077085,5.007595815309571,4.821206132779935,4.152786249630813,3.886371312926091
SGL_RS15740,5.499039268344872,5.504529176734978,5.188671538457926,5.503165796184325,4.535818174987919,5.164983810645892,5.4696981391980195,5.57478229758473,5.590283666959505,6.097105749119904
SGL_RS15745,3.198577877427165,2.801712038510041,3.8918942653578164,3.8897451326713823,2.8075108129125415,3.2138695061618763,3.6892076581734923,3.630957321125347,3.973944729245605,4.103710958468638
SGL_RS15750,6.6146200975357115,6.824739087145393,6.2595434125341525,6.513742922160272,6.401945958861387,7.177712914752772,7.803503637894185,7.702750578895071,8.285254367510099,8.350594751632345
SGL_RS15760,4.5935159359509825,4.482559995062327,5.3236909180354175,5.700946058882058,4.673617286499582,4.339638265629041,4.49028757995876,4.406492830553888,4.218996294201311,4.248049860617317
SGL_RS15765,2.124783495818081,3.3180352732236167,5.119444472773716,4.9983735511935565,3.6308335767422673,3.8033474197317427,3.535260317282536,3.5117223840159397,3.7220161376747587,2.605962566150407
SGL_RS15770,4.974937850737396,5.29463500808631,5.005663167398363,5.1052330080482715,4.417937857241974,4.918886835675828,4.941547860134001,4.701710777287221,5.19463401066776,5.10589977262593
SGL_RS15775,7.087237832226155,7.139393237319515,7.343392561586257,7.365158389074331,6.894359885976801,6.4581647460305796,6.528668526981758,6.356143460691418,6.303919812539346,6.24810915260095
SGL_RS15780,7.469046341790023,7.346958048482331,5.585896518539283,5.6057119215801805,5.248462310523408,4.954349055219136,5.4648124005670695,5.768782948245927,6.266387455143725,6.4995455141421035
SGL_RS15785,7.324850948427254,7.858183769347222,7.854403294790271,8.453022817515892,7.471101190720585,7.664711945486127,7.634165786420943,7.4366208622136405,6.741872060516558,7.194395408067837
SGL_RS15790,5.412681028171419,5.755087383060137,5.633243471187072,6.725210040306415,5.161713369722012,5.579704678009902,4.959007919527554,5.583773544881464,4.824147422326039,4.968821333646209
SGL_RS15795,7.4217064066415395,7.3376303842017965,7.175383239872358,6.615307992930543,6.435494822276377,6.110051006775152,5.434364534337001,5.747785034577843,6.569447325551815,6.226429229589552
SGL_RS15800,6.059687831843576,6.094883850627608,6.013574867715769,6.111849437874994,6.098778472854899,6.117555967287194,6.411983429436814,6.240343382229319,6.22383296270101,6.182012371113227
SGL_RS15805,7.356106534225034,7.273940148438844,7.492479122448489,7.541037276030915,6.788227592500439,6.961348329013652,7.04728419397382,6.934785588725279,6.8935266288001245,7.2310100212390065
SGL_RS15810,5.313139698252571,5.473391337514565,6.749386155684105,6.39491932508453,5.633143446282617,5.77403916676637,5.940033315374814,6.058132122917519,5.799231410409531,5.616848296478402
SGL_RS20010,1.992243800744361,3.0121510490834216,1.2777579852240537,0.0,1.318996612458717,1.2333851542318028,0.0,0.0,1.7661860432597725,3.324381956480018
SGL_RS20015,2.506510881848104,1.917502274394648,1.69580478793217,0.8714369862462343,1.4660139790356015,2.2379371354077864,2.6240944318941577,1.0806948757079744,2.7361738219090763,3.6458603717664384
SGL_RS15825,8.508031256389415,8.702285484147964,9.065772746933657,8.835685806849328,8.340724024926452,8.574221235644004,8.501619904580506,8.442692778571892,8.783961417561283,8.756045714089227
SGL_RS15830,3.5758536285545346,4.85380437739404,5.8193195300086025,4.796790912100154,4.646199992136412,4.92377797245143,4.603239621724706,4.734156577514013,4.741298007592855,5.035617189853729
SGL_RS15835,2.9399667474514537,3.156741246009721,4.577529124790497,4.06726374365678,3.140090177063062,3.655989819527982,3.3383498249934926,4.4012980232985335,3.0311677535635315,3.2354793593342097
SGL_RS15840,5.131308949491536,5.875528421626512,6.328393329654737,6.26355220296117,6.345040676386388,6.377353462034404,6.495910335453838,6.191284087266109,6.571747916838329,6.114979242627815
SGL_RS15845,5.530753655562442,6.07283226171422,5.9049518114434205,6.25367330551492,4.991920829472033,5.555822792331039,5.823429684047017,5.572466222125781,5.84127646621227,5.721492786484999
