Geneid,SRX2492746,SRX2492747,SRX2492748,SRX2492749,SRX2492750,SRX2492751,SRX2694285,SRX2694286,SRX2694287,SRX2694288
SGL_RS04655,4.72390497126,5.422300410335449,5.079160162020025,4.736653959935682,5.367940457750498,5.313307958902619,7.594211466004186,7.447099659085027,6.3688524524208585,6.644512445628261
SGL_RS04660,11.646763081543014,11.903930930871315,11.491216907884828,11.61764888792344,11.776023842050932,11.657797386891549,11.792073543765794,11.79428532186669,9.54836460131113,9.38125390538278
SGL_RS04665,5.3956634634754,6.319751618389058,6.006040481030672,4.765351025790789,5.385395365425047,5.655993534997919,8.216379975665475,8.29186739141129,4.773482143421296,5.259042223134505
SGL_RS04670,3.3745790464279786,3.9499763641409578,3.5626951544586616,3.537056427708815,4.122378166032202,3.988819266266809,5.4094032848419396,5.4715253192390385,4.33829081397651,3.547345288734569
SGL_RS04675,3.709441893443698,4.088303774744875,3.8988397815589497,3.1562964824479867,3.704419314824886,3.8521783481410834,5.62598985056832,5.332803882124671,4.221412581923084,3.23475208418565
SGL_RS04680,4.135897165032257,4.648810480353492,4.709616528759202,4.308644726746613,4.878084062888704,5.2165947512199,5.646042437410206,6.1613413717938315,5.995211995661871,5.918343663071781
SGL_RS04685,5.696346904367712,5.918436064861668,5.820684344309597,6.225802324721792,6.592465932680332,6.790059590493735,7.519204623390707,7.395869963459278,8.837529396480274,8.595685487923584
SGL_RS04690,7.715465219076041,8.019260442702913,7.720886975142484,7.70932528285754,8.05458549230847,8.092204772267232,9.034310932507873,8.959654892810548,8.347197643234372,8.53656211393757
SGL_RS04695,2.9353535668971618,2.3744535962699964,2.069581408932015,3.138395969750742,2.421021906597634,1.9450683756368947,2.8800352901551642,3.5703541768564135,3.8342911926859267,0.0
SGL_RS20210,1.9640557102610954,2.184367541249581,1.7335984456909181,1.5439323557270126,1.9451860180849414,2.3518563549010967,0.0,0.0,0.0,0.0
SGL_RS20215,3.740706639321902,3.2890310668034375,3.5538641786023404,3.3408999083363313,3.422432331907357,3.3114965390005,0.0,0.0,0.0,0.0
SGL_RS04705,3.287770487217815,3.5680959809109454,3.161013828076312,3.115703401027319,3.652158374718971,3.591794521786804,3.7634116516112797,3.831755414841376,3.596553033707119,4.156014063884914
SGL_RS18705,2.7862772356616654,2.715688319598399,2.884044029393843,3.303237359329942,3.2182785139686736,3.561923186560379,5.12347159016537,4.718770003115313,2.4362161148672636,3.434698859255704
SGL_RS04710,3.5153215181752104,2.966769372624579,3.271761598230957,3.2427406095973055,3.476584990647417,3.1528095637039573,5.179269270432569,6.072081182617204,3.9719813223214535,4.421078058226848
SGL_RS04715,5.728007097172262,5.8029559779857,5.687757816088224,5.955218994687302,6.037067922532472,6.294545783424721,7.112828506296684,7.029551324204106,6.7770523236644244,6.928925650815589
SGL_RS04720,8.431187332299158,8.857644929504854,8.533671132013689,7.934030386526079,8.524569668133962,8.808931396049047,9.967827662984211,9.900325573313445,9.760341685899654,9.828392081546927
SGL_RS19335,0.8096337760822921,0.0,0.0,0.0,0.6705601838832245,0.0,4.750973670327896,4.534107758251151,4.808808004906017,4.956812185805847
SGL_RS04725,3.905202709251936,4.14155855607699,4.037420563130364,4.188558036706016,4.387464298250747,4.279031918741752,6.0270514567232745,6.68049595989925,6.7108823293082684,5.108410716534951
SGL_RS04730,2.968269711412777,3.573193277462203,3.193733797724288,3.199335698490837,3.5059797480411423,3.748628718579049,4.773336739659219,4.445955506906195,4.934495357365173,4.124883467375243
SGL_RS04735,3.3903801783734204,3.70997038622263,3.339616463516509,3.4031872920253736,4.246593365563753,3.682661922029312,5.301478319658441,3.736018144029905,4.002358313762167,3.601664744076808
SGL_RS04740,5.438159846475914,6.095597565555356,5.8456504596922585,5.54565864292948,6.197410726863906,6.2769320953832715,5.58673509065255,5.939148412002961,4.366198062334296,5.930964063059635
SGL_RS04745,4.670976167053651,5.090403390345053,4.7782643557458435,4.959154268897341,5.016122623153512,5.405754483659045,8.9075246910416,8.861252046621818,6.512279452514919,5.363143184700052
SGL_RS04750,4.078185176109144,3.9040781161114215,4.025354560717361,4.042521333804507,3.83672938093539,3.9644290580883763,5.572296889175133,5.351507696277688,2.8216889773746407,3.8579656221521126
SGL_RS04755,4.754889946854114,4.80158915551274,4.439283665714552,4.819226573134199,5.122097166969022,4.958574961967758,6.289058515248199,5.916649679401734,5.052716223935801,0.0
SGL_RS04760,2.5818520035378705,3.7687180721828946,3.6266321805453745,3.0044835583235785,3.550227879036038,3.6040646119937914,5.548563169640552,6.014416919877355,5.773958858113168,4.783964501302713
SGL_RS04765,3.5740085426079395,4.205501972742225,3.484461058712181,3.3687608596493144,3.9269317825444032,3.6490140075126347,5.457507244017894,6.2178889952299725,5.111620285636918,6.241668994083514
SGL_RS04770,10.067796280357749,10.715498989969438,10.161856811697097,10.219842487938692,9.875135810668787,9.793351427231125,7.525257857049206,8.074454405696342,9.342149469709588,9.38485975043883
SGL_RS04775,7.705780915980276,8.026337253466915,7.839637858988526,7.585580389306546,7.286712688619936,7.29751324554718,7.850667778838234,8.008438163418019,9.065183966129792,8.933663788592334
SGL_RS04780,7.331930671923265,7.37637414115472,7.188595223370467,7.377691390103814,7.34757213419287,7.342036890068663,7.277910726720419,6.966781355975338,7.657694147868817,7.8269724601998085
