Geneid,SRX11490741,SRX11490742,SRX11490743,SRX11490744,SRX11490745,SRX11490746,SRX11490747,SRX11490748,SRX11490749,SRX11490750,SRX11490751,SRX11490752
SGL_RS02145,5.55830638544077,5.654824704882221,5.735885518745238,5.78482182933902,5.590568666093276,5.517257158971732,5.61177944740742,6.017378126150378,6.117591521022689,6.063514583748258,5.830236380839507,5.998274416671996
SGL_RS02150,4.896487758133487,5.1321488490922675,5.2133251596648655,5.282502585591264,5.3745908105565805,5.227148028490868,4.465682679192835,4.510429938536163,4.531577320060593,4.976473280020101,4.836250836191363,4.907649177345447
SGL_RS02155,6.434810003031411,6.622973239613134,7.169954794053894,7.341502966550187,7.164751646879503,7.087280129663375,5.871184864696948,6.213294182200421,6.322785870142162,7.114469150593613,6.930482540012387,6.853094639264441
SGL_RS02160,6.592698515399897,6.404642062628186,6.58136641355905,6.220663631357354,6.531471248484415,6.447306487557418,6.415862128279383,6.195867499773175,6.250318200932915,5.852773980940459,5.580607818775304,5.5315492254513225
SGL_RS02165,4.9300994329621615,4.542264136177706,4.463230179692029,5.015258601292153,4.760408493503081,5.207234055951865,5.079602968575764,5.534499753662884,5.2386040282080835,5.109804826652972,5.151417170910852,4.524312578736962
SGL_RS02170,5.454778305201945,5.149233401021072,5.644817039316652,5.798085486332829,5.703848576424587,5.353033651984875,5.645568338427344,6.0476427683573935,6.134150442693103,5.758774784679556,5.500831058519116,5.55249862142794
SGL_RS02175,5.956180525783833,5.811383271172447,6.008721052681205,5.963309868965028,5.936297949517182,5.848454009507736,6.449962180635336,6.520483787237295,6.614470614550464,6.556135697736658,6.5448121890356425,6.622807318985903
SGL_RS02180,5.819227093940803,6.235222736621558,5.871189861615374,6.0209042922984874,6.56213907979515,6.557584578794748,7.115025169419338,6.899433825029842,6.660198579557775,7.418626388948453,7.334648041123646,7.460211893749775
SGL_RS02185,6.966812185690498,6.883566030748217,7.248168142558953,6.996534852383157,6.896817428360494,6.585332749289036,7.053622566331425,7.624577685181201,7.584931312985833,7.038112798522496,6.585407128890214,6.843128239243702
SGL_RS02190,6.5653168742815895,6.829588109042177,6.643460937943772,6.383488629375036,6.515577064354157,6.513128408691786,7.8479616134265315,7.371859506024771,7.240040525802078,7.352712899455951,7.092367936773433,7.2087156482748025
