Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
SRX12668211	14222506	2504376	2628524	8465058	0	0	0	0	744	0	0	0	0	412070	209977	1757	17.608542404552335	14222506.0	5757448.0	40.48	8465058.0	59.52	SRX12668211_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14222506.0	0.0	20-150	47.0	10.160618049614492	140.4410526527463	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	14224338	4051942	14224338	2021889518	353696	2016273608	0.2777555326343998	0.0329	0.2548	0.7123
SRX12668212	15335829	1749960	1172220	11983911	0	0	0	0	381	0	0	0	0	288696	139542	1119	11.410925356562077	15335829.0	3351918.0	21.86	11983911.0	78.14	SRX12668212_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15335829.0	0.0	20-150	45.0	7.400747668231531	139.46600884764692	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	15337415	4770690	15337415	2150711452	424374	2144058410	0.3093414504215882	0.0403	0.3036	0.6561
SRX12668213	14499710	4098233	2027074	7334639	0	0	0	0	1124	0	0	0	0	692503	343570	2567	28.264241146891905	14499710.0	7165071.0	49.42	7334639.0	50.58	SRX12668213_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14499710.0	0.0	20-150	48.0	12.160008887223604	140.66297429396863	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	14501615	4085009	14501615	2063818444	369983	2058162726	0.2740414505182124	0.0459	0.333	0.621
SRX12668214	11356170	2008881	1366321	7386355	0	0	0	0	395	0	0	0	0	411536	181180	1502	17.689775690219502	11356170.0	3969815.0	34.96	7386355.0	65.04	SRX12668214_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11356170.0	0.0	20-150	46.0	11.666656715295904	136.5636038382659	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11357482	3179225	11357482	1558788986	239107	1554244950	0.291510656080553	0.0486	0.2974	0.6539
SRX12668215	12011257	3530349	2506599	4865315	0	0	0	0	668	0	0	0	0	755285	350672	2369	29.39200285199126	12011257.0	7145942.0	59.49	4865315.0	40.51	SRX12668215_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12011257.0	0.0	20-150	47.0	13.3674287671257	140.23085726997598	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12012490	3927583	12012490	1694001938	286824	1688565660	0.3209133282585418	0.0506	0.2964	0.653
SRX12668216	10742692	2644273	2298527	4923837	0	0	0	0	616	0	0	0	0	616596	257122	1721	24.614621735408598	10742692.0	5818855.0	54.17	4923837.0	45.83	SRX12668216_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10742692.0	0.0	20-150	47.0	12.553065402598868	136.81998757853245	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10743913	2959210	10743913	1485020997	244942	1480781441	0.2854879499053978	0.0501	0.2714	0.6785
SRX12668217	14635822	1639946	2139647	10315675	0	0	0	0	387	0	0	0	0	386945	152069	1153	11.205014655138603	14635822.0	4320147.0	29.52	10315675.0	70.48	SRX12668217_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14635822.0	0.0	20-150	46.0	8.804433728610164	140.61278696884943	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	14637732	4152845	14637732	2069019267	355311	2063196680	0.2814177273681231	0.0435	0.2188	0.7378
SRX12668218	12572892	1221369	2637275	8317537	0	0	0	0	521	0	0	0	0	292385	102973	832	9.714304393929416	12572892.0	4255355.0	33.85	8317537.0	66.15	SRX12668218_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12572892.0	0.0	20-150	47.0	7.256938346976288	140.73517699825942	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12574290	4068504	12574290	1779641976	323935	1774019499	0.315933040230784	0.032	0.1643	0.8037
SRX12668219	7970240	1839049	2116072	3504683	0	0	0	0	714	0	0	0	0	337680	170677	1365	23.07394758501626	7970240.0	4465557.0	56.03	3504683.0	43.97	SRX12668219_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7970240.0	0.0	20-150	48.0	16.214836036164655	141.3656319006705	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	7971116	2226363	7971116	1132733930	212631	1129634937	0.2735852540410791	0.036	0.2372	0.7268
SRX12668220	12592042	1778651	2479512	7865645	0	0	0	0	394	0	0	0	0	307371	159372	1097	14.1251990741454	12592042.0	4726397.0	37.53	7865645.0	62.47	SRX12668220_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12592042.0	0.0	20-150	47.0	9.431407066771849	140.5991993196973	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12593375	3646968	12593375	1780073316	305813	1774965375	0.2869511583645356	0.0304	0.2141	0.7555
