Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX13465645	14387605	168095	14038372	37217	0	0	0	0	0	0	0	0	0	136402	7446	73	1.1683320469251135	14387605.0	14350388.0	99.74	37217.0	0.26	SRX13465645_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14387605.0	0.0	20-51	52.0	2.789834337103581	50.62168713972896	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	14440448	736952	14440448	731274374	2133799	728325302	0.4032784553722103	0.0027	0.0832	0.9141
SRX13465646	13004449	127757	12683961	46785	0	0	0	0	0	0	0	0	0	140059	5837	50	0.9824099429356832	13004449.0	12957664.0	99.64	46785.0	0.36	SRX13465646_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13004449.0	0.0	20-51	53.0	3.066260916845846	50.61298813967435	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	13082828	667670	13082828	662030156	3095087	658194300	0.5794080473881011	0.0027	0.0882	0.9091
SRX13465647	20731697	213396	20283959	36327	0	0	0	0	0	0	0	0	0	188361	9578	76	1.0293223945922034	20731697.0	20695370.0	99.82	36327.0	0.18	SRX13465647_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20731697.0	0.0	20-51	53.0	2.1938261179184857	50.61707640238038	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	20856476	1044025	20856476	1055442729	4905422	1049378655	0.574552634016014	0.0026	0.0747	0.9228
SRX13465648	16172829	179561	15764112	72528	0	0	0	0	0	0	0	0	0	146409	10147	72	1.110263393003166	16172829.0	16100301.0	99.55	72528.0	0.45	SRX13465648_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16172829.0	0.0	20-51	53.0	2.751987822868524	50.615359502038885	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	16427153	824833	16427153	828740112	9234320	818593914	1.2242918923658903	0.0023	0.0724	0.9252
SRX13465649	13120169	136140	12810604	23242	0	0	0	0	0	0	0	0	0	140686	9446	51	1.0376390730942566	13120169.0	13096927.0	99.82	23242.0	0.18	SRX13465649_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13120169.0	0.0	20-51	52.0	2.741908014679183	50.61334019401732	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	13182813	678480	13182813	667344570	2532271	664056118	0.4927667276891156	0.0029	0.0814	0.9157
SRX13465650	17275454	149209	16898277	37384	0	0	0	0	0	0	0	0	0	180704	9829	51	0.8637052317120001	17275454.0	17238070.0	99.78	37384.0	0.22	SRX13465650_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17275454.0	0.0	20-51	52.0	2.718259676596553	50.63575440622285	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	17337523	871995	17337523	878227820	2503668	874755958	0.395325896189442	0.0026	0.0785	0.9189
SRX13465651	20108516	345393	19465407	52125	0	0	0	0	0	0	0	0	0	227481	17949	161	1.7176453995908996	20108516.0	20056391.0	99.74	52125.0	0.26	SRX13465651_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20108516.0	0.0	20-51	53.0	3.6743088057102726	50.61906726483446	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	20170956	1053215	20170956	1021590351	2552226	1017874662	0.3637161408545841	0.004	0.0908	0.9052
SRX13465652	11802026	204881	11398905	24911	0	0	0	0	0	0	0	0	0	161943	11259	127	1.7359816018029446	11802026.0	11777115.0	99.79	24911.0	0.21	SRX13465652_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11802026.0	0.0	20-51	52.0	3.27111738643394	50.60435081230968	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	11898077	605384	11898077	601552365	3646071	597234202	0.717836592663051	0.0051	0.0865	0.9085
SRX13465653	11973003	209657	11563259	24700	0	0	0	0	0	0	0	0	0	163518	11745	124	1.7510811615097734	11973003.0	11948303.0	99.79	24700.0	0.21	SRX13465653_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11973003.0	0.0	20-51	53.0	3.269185976556713	50.61119979674272	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12032892	607124	12032892	609044217	2403054	605968397	0.5050240876024934	0.0046	0.0897	0.9057
SRX13465654	21768731	453851	20969148	88083	0	0	0	0	0	0	0	0	0	239191	18248	210	2.084875778932635	21768731.0	21680648.0	99.6	88083.0	0.4	SRX13465654_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21768731.0	0.0	20-51	52.0	4.709755315386119	50.62568869999818	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	21859183	1116874	21859183	1106880440	3588217	1102057417	0.4357311617142679	0.0032	0.0875	0.9093
