Geneid,SRX669715,SRX669716,SRX669717,SRX669718,SRX669719,SRX669720,SRX669721,SRX669722
SGL_RS02545,5.929806049050663,5.6812499978620705,4.664134536590771,5.514039938912379,5.343447414291578,4.7712063598256655,4.835362995813014,6.366969151483268
SGL_RS02550,7.6528226760188325,7.407675554835881,7.815990327472156,7.952330062831568,7.208602138321817,7.0337473876708465,7.487809802628291,8.052474130662102
SGL_RS02555,7.971709901834888,7.801947247993491,8.247733591663286,8.116094210152054,7.661849554680285,7.719990640442967,8.120050771407994,8.059842715542029
SGL_RS02560,9.187500248742984,8.838455807172844,9.169740741002522,9.050024051836113,8.586612239771908,8.549368737695668,9.379216429037681,9.348391787570428
SGL_RS02565,4.625500592070953,4.669311004485618,4.370949913096952,4.941267874013328,3.9685879843037304,3.623151000289698,4.385544901534719,5.800647793593054
SGL_RS02570,5.00236142406791,6.427018363928411,6.604305056696964,6.356584019066125,4.754613415497709,4.170011827813119,6.307357080555759,6.820620117362313
SGL_RS02580,6.490374154763923,5.513190370252874,5.41862610725638,6.1720527258580145,5.863369330234328,5.78717441610011,4.897640884592386,6.289008552449023
SGL_RS02585,8.933828116623813,8.095115957435267,9.094941026463992,8.583005073342592,8.841279988183114,8.476783204164603,8.69193440405934,8.808176183750538
SGL_RS02590,6.081599761037848,5.889283896440967,6.507282830260801,6.125958028607752,5.589869812707091,5.418197936833851,5.861449885269323,6.466672314848748
SGL_RS02595,4.455521284164246,4.344759210052454,3.723616582797469,4.523890608154806,3.7880008832435075,3.419673695196021,3.345245439081397,5.525570365233925
SGL_RS02600,9.227088752102404,9.215131997868621,7.848670854274407,8.121533460143231,8.792787585810212,8.537696890239689,7.71256552481977,7.213665170631445
SGL_RS02605,8.850743563041677,8.819263274616924,8.4976358207643,8.586593085516132,8.850943434057383,8.536107570783496,8.50335380587694,8.946189540794133
SGL_RS02610,7.465250878855318,7.7190911515760146,7.584242158801736,7.698665741319074,7.6940456737668645,7.6016654150157255,7.646433424039174,7.939690074923233
SGL_RS02615,6.767937239043301,6.687714523397787,7.318952892172911,7.0912290749256455,5.983406636996232,5.939049512348124,7.243192415704565,7.309436212860217
SGL_RS19540,9.209070421337396,8.597858685509003,9.285209718480433,8.95029359280449,8.21224182873242,8.413141270844264,8.35164041993801,8.122644344833374
SGL_RS18655,10.833767836072367,10.412365770670583,11.103263084185974,10.788430676560989,10.55730989527892,10.713239691150182,11.684915132721624,10.793836723082727
SGL_RS02620,5.431301193887247,5.513646560612427,4.261484812989191,5.318774824266093,4.865606225506737,4.8485671176212195,4.785713237825231,6.43711225644288
SGL_RS02625,6.503492407390672,6.435528934219438,6.444041309073713,6.313965901405717,6.442928917536173,6.315799299001157,6.371726599885752,6.767156161486123
SGL_RS02630,6.32227877443837,6.40014775520284,6.11129903903288,6.227464932903798,5.78852322952947,5.868059786174207,5.893963548281198,6.662453104110338
